交易所,品种,名称,交易时段1,交易时段2,交易时段3,交易时段4,总时长(h)
SHFE,au,黄金,09:00-10:15,10:30-11:30,13:30-15:00,21:00-02:30,9.25
SHFE,ag,白银,09:00-10:15,10:30-11:30,13:30-15:00,21:00-02:30,9.25
SHFE,cu,铜,09:00-10:15,10:30-11:30,13:30-15:00,21:00-01:00,7.75
SHFE,al,铝,09:00-10:15,10:30-11:30,13:30-15:00,21:00-01:00,7.75
SHFE,zn,锌,09:00-10:15,10:30-11:30,13:30-15:00,21:00-01:00,7.75
SHFE,pb,铅,09:00-10:15,10:30-11:30,13:30-15:00,21:00-01:00,7.75
SHFE,ni,镍,09:00-10:15,10:30-11:30,13:30-15:00,21:00-01:00,7.75
SHFE,sn,锡,09:00-10:15,10:30-11:30,13:30-15:00,21:00-01:00,7.75
SHFE,ao,氧化铝,09:00-10:15,10:30-11:30,13:30-15:00,21:00-01:00,7.75
SHFE,rb,螺纹钢,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
SHFE,hc,热轧卷板,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
SHFE,ss,不锈钢,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
SHFE,fu,燃料油,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
SHFE,bu,石油沥青,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
SHFE,ru,天然橡胶,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
SHFE,sp,纸浆,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
SHFE,br,丁二烯橡胶,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
SHFE,wr,线材,09:00-10:15,10:30-11:30,13:30-15:00,,3.75
INE,sc,原油,09:00-10:15,10:30-11:30,13:30-15:00,21:00-02:30,9.25
INE,bc,国际铜,09:00-10:15,10:30-11:30,13:30-15:00,21:00-01:00,7.75
INE,lu,低硫燃料油,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
INE,nr,20号胶,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
INE,ec,集运指数(欧线),09:00-10:15,10:30-11:30,13:30-15:00,,3.75
DCE,a,豆一,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,b,豆二,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,m,豆粕,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,y,豆油,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,p,棕榈油,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,c,玉米,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,cs,玉米淀粉,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,j,焦炭,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,jm,焦煤,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,i,铁矿石,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,l,聚乙烯,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,v,聚氯乙烯,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,pp,聚丙烯,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
DCE,eg,乙二醇,09:00-10:15,10:30-11:30,13:30-15:00,21:00-23:00,5.75
